RANK,CITY,POPULATION,POPULATION GROWTH 2008 TO 2013,UNEMPLOYMENT RATE (%),AVERAGE HOUSEHOLD INCOME,AVERAGE HOUSEHOLD NET WORTH,AVERAGE HOUSE PRICES,AVERAGE YEARS TO BUY A HOME,AVERAGE PROPERTY TAX,SALES TAX,INCOME TAX ($),NEW CARS,WALK TO WORK (%),BIKE TO WORK (%),TAKE PUBLIC TRANSIT TO WORK (%),TOTAL RAINFALL (mm),DAYS PER YEAR WITH PRECIPITATION,DAYS PER YEAR WITH RAIN,DAYS ABOVE 0C,DAYS ABOVE 20C,DAYS BELOW MINUS 20C,MEAN DAILY TEMP.,DAYS ABOVE 24C,FIVE-YEAR CHANGE IN CRIME RATE,"CRIME RATE PER 100,000",CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NUMBER OF MEDICAL OFFICES PER '000,DOCTORS PER '000
127,"Longueuil, Que.",237.9,1.90%,7.5,"$69,795.86","$217,578.00","$261,556.00",3.75,"$1,583.00",14.98%,11302,18.11%,3.94,1.58,21.78,798.56,164.56,119.8,205.9,117.5,19.38,6.15,13.88,-23.73%,5056.13,70.83,65.18,0.79,2.34
128,"Ajax, Ont.",120.874,20.60%,8.7,"$105,024.43","$371,009.00","$404,568.00",3.85,"$2,912.00",13.00%,8694,17.77%,2.52,0.2,14.03,766.13,145.68,122.66,239,100.48,2.73,8.12,9.56,-26.75%,3626.65,44.71,55.55,0.59,2.07
129,"Sault Ste. Marie, Ont.",83.612,1.00%,10.5,"$73,739.87","$247,852.00","$209,690.00",2.84,"$1,546.00",13.00%,8694,17.19%,6.4,1.06,3.93,651.28,175.84,109.87,190.9,93.52,22.24,4.73,2.11,-11.77%,6727.49,91.06,69.54,1.32,1.81
130,"Oshawa, Ont",158.987,5.80%,10.8,"$80,558.49","$268,814.00","$289,861.00",3.6,"$2,132.00",13.00%,8694,17.64%,4.08,0.48,8.02,766.13,145.68,122.66,239,100.48,2.73,8.12,9.56,-26.75%,3626.65,44.71,55.55,0.67,1.47
131,"Ingersoll, Ont.",12.849,4.30%,6.9,"$76,629.84","$252,415.00","$217,908.00",2.84,"$2,167.00",13.00%,8694,15.24%,5.28,1.11,0.19,834.67,165.43,124.45,222.9,119.14,2.81,7.97,15.05,-16.53%,4991.94,55.59,45.73,0.86,0.78
132,"Belleville, Ont.",97.078,1.90%,7.7,"$72,826.84","$250,987.00","$207,153.00",2.84,"$1,767.00",13.00%,8694,14.88%,6.07,1.51,2.24,771.9,148.62,116.16,229.3,117.15,7.46,8.09,22.51,-13.26%,10286.86,108.67,111.78,1.26,1.95
133,"Squamish, B.C.",19.383,11.10%,8.2,"$86,514.31","$384,166.00","$430,593.00",4.98,"$1,874.00",12.00%,8611,12.28%,5.28,1.74,2.18,2125.55,183.87,177.34,290.4,93.5,0,9.74,0.47,-29.26%,11363.26,108.71,96.24,1.08,1.75
134,"St. Catharines, Ont",136.665,0.50%,9.7,"$72,659.67","$292,790.00","$246,055.00",3.39,"$1,864.00",13.00%,8694,14.72%,5.24,1.46,4.21,754.19,150.68,117.03,238.1,127.47,0.94,8.98,28.89,-18.74%,4978.1,63.53,54.05,1.38,1.37
135,"Cambridge, Ont",134.255,4.60%,8.3,"$87,137.35","$332,707.00","$321,792.00",3.69,"$2,463.00",13.00%,8694,16.46%,2.94,0.9,3.57,785.4,133.82,106.82,203.6,116.22,5.12,7.28,11.49,-10.74%,4992.24,58.05,60.75,0.78,1.48
136,"Leamington, Ont.",51.792,0.70%,6.6,"$73,927.22","$317,589.00","$219,791.00",2.97,"$1,727.00",13.00%,8694,13.99%,7.42,1.1,0.17,814.23,129.33,111.14,246.1,123.67,1.17,9.58,36.73,-19.03%,4184.76,52.52,57.72,0.64,0.75
137,"Grand Falls-Windsor, Nfld.",13.882,1.40%,12.9,"$75,975.84","$198,383.00","$193,358.00",2.54,"$1,550.00",13.00%,10198,15.77%,7.35,0.37,0.74,806.05,159.13,122.45,183.1,69.37,11.64,4.45,0.64,-12.17%,4643.96,45.46,41.71,2.81,5.55
138,"Owen Sound, Ont.",33.367,-0.70%,8.2,"$69,348.21","$322,275.00","$239,285.00",3.45,"$1,643.00",13.00%,8694,16.96%,8.24,0.76,1.53,783.94,176.8,124.71,228.4,99.95,3.83,7.47,10.98,-10.82%,6478.28,58.39,56.47,1.32,3.24
139,"Wood Buffalo, Alta.",76.957,25.00%,4.7,"$187,772.82","$368,147.00","$556,548.00",2.96,"$4,599.00",5.00%,9474,28.41%,3.62,0.16,15,316.32,142.48,83.73,153.1,84.19,57.52,0.96,0.89,-47.40%,12581.44,107.7,122.53,0.52,0.84
140,"Saint-Jérôme, Que.",71.609,6.00%,7,"$61,308.25","$176,072.00","$198,024.00",3.23,"$1,377.00",14.98%,11302,20.65%,5.98,1.41,1.81,864.69,143.68,111.29,197.1,103.28,23.83,5.47,7.59,-8.63%,7968.44,102.2,89.17,0.99,2.34
141,"Cranbrook, B.C.",26.113,-0.10%,7.1,"$75,955.86","$362,713.00","$321,557.00",4.23,"$1,578.00",12.00%,8611,13.91%,7.34,1.52,1.52,279.49,121.53,84.18,191.2,101.54,10,6.03,3.45,-10.17%,11741.73,105.66,98.49,0.92,3.41
142,"Mascouche, Que.",47,26.30%,4.9,"$82,505.47","$214,759.00","$250,327.00",3.03,"$2,169.00",14.98%,11302,23.07%,1.61,0.67,4.34,827.38,158.26,123.08,204.7,118.02,21.1,6.42,22.18,12.58%,4924.84,69.24,72.28,0.32,2.34
143,"Penticton, B.C.",44.294,3.40%,8.5,"$63,974.51","$447,262.00","$422,462.00",6.6,"$1,442.00",12.00%,8611,10.52%,10.66,3.15,1.01,298.52,119.22,98.74,254.6,128.98,0.24,9.45,14.72,-2.70%,14202.84,120.32,80.64,1.74,2.93
144,"Portage la Prairie, Man.",13.47,3.40%,4.7,"$61,121.44","$206,716.00","$204,788.00",3.35,"$1,303.00",13.00%,11036,12.41%,9.31,1.98,0.34,407.4,97.71,62.49,161,104.45,49.92,2.81,9.49,5.55%,23844.32,207.05,167.12,1.41,1.71
145,"Brockville, Ont.",40.521,-1.60%,7.2,"$74,765.39","$344,189.00","$263,837.00",3.53,"$1,782.00",13.00%,8694,16.61%,6.82,1.09,0.78,806.82,154.9,118.81,226.6,111.03,9.27,7.5,12.46,-24.37%,8529.35,78.4,77.54,1.06,1.97
146,"Port Hope, Ont.",16.808,-1.40%,8.5,"$81,429.85","$345,405.00","$264,204.00",3.24,"$2,286.00",13.00%,8694,16.57%,6.84,0.6,1.18,736.34,138.58,113.53,235.4,94.51,4.31,7.63,5.4,-11.60%,4796.61,43.99,33.59,0.65,1.37
147,"Abbotsford - Mission, B.C.",180.636,6.50%,8.2,"$76,888.38","$401,988.00","$406,172.00",5.28,"$1,701.00",12.00%,8611,11.75%,3,0.71,1.62,1483.26,179.45,174.09,312.3,100.3,0,10.44,2.2,-39.30%,5891.33,71.21,70.38,0.97,1.61
148,"Prince George, B.C.",88.523,2.20%,10,"$77,441.73","$238,649.00","$233,839.00",3.02,"$1,612.00",12.00%,8611,14.10%,5.2,0.86,1.74,423.61,162.91,113.51,181.1,71.4,16.71,4.31,0.06,7.79%,17555.59,151.39,166.34,1.37,2.49
149,"Orillia, Ont.",42.568,0.00%,9.4,"$68,764.77","$325,896.00","$270,147.00",3.93,"$1,659.00",13.00%,8694,21.90%,7.48,1.02,2.32,776.02,161.4,118.56,210,104.38,13.71,6.72,12.29,-25.74%,7684.23,75.06,85.54,1.57,2.89
150,"Haldimand County, Ont",46.504,-0.20%,6.6,"$80,152.52","$366,550.00","$283,728.00",3.54,"$2,308.00",13.00%,8694,11.79%,5.96,0.64,0.36,846.83,153.23,127.08,244.6,116.56,0.72,9.15,20.34,-3.12%,4368.95,53.8,45.27,0.37,1.43
151,"Saguenay, Que.",161.878,3.50%,7,"$67,552.80","$159,606.00","$179,805.00",2.66,"$1,615.00",14.98%,11302,20.48%,4.81,0.73,2.29,663.75,198.36,122.13,175.5,86.8,46.58,2.79,3.93,-0.49%,5539.96,71.12,79.39,0.96,2.17
152,"Mirabel, Que.",45.557,20.90%,5.1,"$79,021.25","$214,984.00","$246,999.00",3.13,"$2,085.00",14.98%,11302,22.08%,3.65,0.5,2.44,835.94,167.46,119.55,198.7,111.65,25.27,5.33,6.84,2.77%,3515.39,54.12,41.95,0.24,2.34
153,"Langley, B.C (City)",26.779,5.60%,6.7,"$65,857.72","$241,775.00","$348,925.00",5.3,"$1,238.00",12.00%,8611,14.13%,5.88,0.98,5.65,1715.49,194.47,190.07,311.6,109,0,10.85,2.17,2.45%,16086.25,183.86,138.63,0.86,2.46
154,"Alma, Que.",34.28,7.20%,8.4,"$67,674.22","$170,914.00","$155,356.00",2.3,"$1,684.00",14.98%,11302,19.17%,8.21,0.75,0.08,728.54,182.67,120.58,166.1,76,37.09,2.93,1.61,-14.71%,4558.95,52.34,35.27,1.05,2.16
155,"Thetford Mines, Que.",28.498,2.30%,5.7,"$55,252.54","$192,748.00","$112,275.00",2.03,"$1,290.00",14.98%,11302,16.28%,6.58,0.54,0.66,945.46,186.89,126.93,195,82.94,21.92,4.55,2.41,1.47%,4546.88,53.9,53.29,1.33,2.11
156,"Drummondville, Que.",92.259,7.90%,7.6,"$60,551.74","$186,240.00","$142,959.00",2.36,"$1,386.00",14.98%,11302,16.91%,6.17,0.95,1.09,872.14,158.99,117.02,210,108.87,19.42,6.35,16.26,1.07%,6683.4,100.08,85.85,0.87,1.45
157,"Sept-Iles, Que.",29.757,4.80%,7.2,"$77,754.13","$180,002.00","$212,986.00",2.74,"$1,834.00",14.98%,11302,22.12%,10.07,0.85,0.39,747.54,173.8,111.04,165.6,32.31,47.32,1.01,0,5.30%,8307.86,106.22,112.23,0.37,2.12
158,"Temiskaming Shores, Ont.",14.09,1.60%,11.7,"$70,076.56","$242,398.00","$185,884.00",2.65,"$1,527.00",13.00%,8694,19.84%,11.89,0.31,1.31,576.47,169.36,104.65,168.2,93.38,52.9,2.58,5.05,-54.70%,4475.68,40.27,62.44,0.78,1.92
159,"Sylvan Lake, Alta.",13.561,22.10%,7.1,"$102,024.96","$460,779.00","$314,632.00",3.08,"$2,290.00",5.00%,9474,16.98%,4.74,0.29,0.12,383.66,119.12,75.04,152.9,83.48,31.91,2.75,0,-12.75%,11081.97,96.38,82.31,0.74,2.3
160,"Quesnel, B.C.",23.387,7.70%,12.3,"$72,163.90","$250,224.00","$186,323.00",2.58,"$1,406.00",12.00%,8611,12.26%,4.81,0.87,0.55,394.29,150.7,110.75,188,93.68,12.89,5.48,0.07,-17.75%,25262.83,229.87,259.04,0.98,1.37
161,"Cowansville, Que.",12.995,5.20%,6.6,"$57,885.10","$202,989.00","$209,944.00",3.63,"$1,400.00",14.98%,11302,18.17%,10.76,1.23,0.94,1025.9,182.03,130.73,187.1,107.32,25.83,5.4,4.26,-24.20%,4514.2,64.26,50.4,1,3.92
162,"Windsor, Ont.",330.623,-0.80%,10.4,"$75,446.61","$281,565.00","$209,440.00",2.78,"$1,732.00",13.00%,8694,16.70%,3.8,1.2,2.6,822.35,149.54,119.99,248.9,138.85,1.16,9.87,54.3,-9.31%,14708.21,137.18,124.47,1.26,1.55
163,"Amos, Que.",17.432,-0.10%,8.2,"$73,855.00","$196,094.00","$190,963.00",2.59,"$1,937.00",14.98%,11302,21.47%,11.26,0.25,0.65,675.66,151.36,105,162,73.75,53.1,1.45,1.8,3.78%,5215.48,77.29,131.07,0.92,4.07
164,"Georgina, Ont.",45.951,2.30%,8.4,"$79,111.68","$297,594.00","$344,549.00",4.36,"$2,325.00",13.00%,8694,14.22%,2.97,0.37,2.45,709.92,156.12,114.36,207.8,112.54,12.2,6.94,15.48,-18.72%,2806.5,35.83,39.07,0.44,2.07
